mean_precision,mean_recall
0.19777796624544144,1.0
0.19779474130619168,1.0
0.19781151921282553,1.0
0.19782829996606718,1.0
0.1978450835666412,1.0
0.19786187001527236,1.0
0.1978786593126856,1.0
0.19789545145960624,1.0
0.19791224645675973,1.0
0.19792904430487185,1.0
0.19794584500466852,1.0
0.19796264855687606,1.0
0.1979794549622209,1.0
0.1979962642214298,1.0
0.1980130763352297,1.0
0.19802989130434784,1.0
0.19804670912951167,1.0
0.19806352981144895,1.0
0.1980803533508876,1.0
0.1980971797485559,1.0
0.19811400900518222,1.0
0.19813084112149532,1.0
0.19814767609822415,1.0
0.19816451393609788,1.0
0.19818135463584602,1.0
0.1981981981981982,1.0
0.1982150446238844,1.0
0.19823189391363483,1.0
0.19824874606817988,1.0
0.1982656010882503,1.0
0.198282458974577,1.0
0.19829931972789117,1.0
0.19831618334892423,1.0
0.19833304983840788,1.0
0.1983499191970741,1.0
0.198366791425655,1.0
0.19838366652488304,1.0
0.1984005444954909,1.0
0.19841742533821152,1.0
0.19843430905377807,1.0
0.19845119564292402,1.0
0.19846808510638297,1.0
0.19848497744488894,1.0
0.19850187265917604,1.0
0.19851877074997873,1.0
0.19853567171803166,1.0
0.19855257556406983,1.0
0.19856948228882834,1.0
0.19858639189304267,1.0
0.19860330437744847,1.0
0.1986202197427817,1.0
0.19863713798977853,1.0
0.19865405911917539,1.0
0.19867098313170897,1.0
0.19868791002811623,1.0
0.19870483980913428,1.0
0.19872177247550063,1.0
0.19873870802795296,1.0
0.19875564646722918,1.0
0.1987725877940675,1.0
0.19878953200920638,1.0
0.19880647911338448,1.0
0.19882342910734077,1.0
0.19884038199181447,1.0
0.198857337767545,1.0
0.19887429643527205,1.0
0.19889125799573562,1.0
0.19890822244967588,1.0
0.19892518979783333,1.0
0.19894216004094864,1.0
0.19895913317976283,1.0
0.19897610921501707,1.0
0.19899308814745287,1.0
0.19901006997781193,1.0
0.1990270547068362,1.0
0.199044042335268,1.0
0.19906103286384977,1.0
0.19907802629332422,1.0
0.19909502262443438,1.0
0.1991120218579235,1.0
0.19912902399453505,1.0
0.1991460290350128,1.0
0.19916303698010077,1.0
0.19918004783054322,1.0
0.19919706158708464,1.0
0.19921407825046986,1.0
